"x","y","elev","grad"
-2.5,-2.5,120.63,0.2519312
2.525,-2.5,121.94,0.3093527
7.55,-2.5,123.46,0.3284767
12.575,-2.5,125.07,0.3226355
17.6,-2.5,126.65,0.3047866
22.625,-2.5,127.96,0.2715315
27.65,-2.5,128.88,0.2370618
32.675,-2.5,129.75,0.193929
37.7,-2.5,130.85,0.1602222
42.725,-2.5,131.81,0.134322
47.75,-2.5,132.18,0.1058294
52.775,-2.5,132.31,0.08758083
57.8,-2.5,132.61,0.07657523
62.825,-2.5,132.93,0.06920935
67.85,-2.5,133.2,0.0642526
72.875,-2.5,133.48,0.05894267
77.9,-2.5,133.79,0.05837248
82.925,-2.5,134.12,0.05584217
87.95,-2.5,134.51,0.0496228
92.975,-2.5,134.86,0.04322274
98,-2.5,135.09,0.04042575
103.025,-2.5,135.21,0.03998762
108.05,-2.5,135.17,0.04125035
113.075,-2.5,135.13,0.04305355
118.1,-2.5,135.27,0.0434454
123.125,-2.5,135.53,0.04432492
128.15,-2.5,135.95,0.04769654
133.175,-2.5,136.4,0.05203026
138.2,-2.5,136.73,0.05528773
143.225,-2.5,137,0.05633807
148.25,-2.5,137.2,0.05550316
153.275,-2.5,137.38,0.05392298
158.3,-2.5,137.56,0.05378637
163.325,-2.5,137.76,0.05702495
168.35,-2.5,138.02,0.06447776
173.375,-2.5,138.19,0.07680803
178.4,-2.5,138.13,0.09457263
183.425,-2.5,137.87,0.1146535
188.45,-2.5,137.31,0.1347057
193.475,-2.5,136.74,0.1512347
198.5,-2.5,136.43,0.162879
203.525,-2.5,136.29,0.1719638
208.55,-2.5,136.37,0.1798385
213.575,-2.5,136.5,0.187906
218.6,-2.5,136.46,0.1992743
223.625,-2.5,136.34,0.2109152
228.65,-2.5,136.15,0.2192611
233.675,-2.5,135.9,0.2245354
238.7,-2.5,135.66,0.2254392
243.725,-2.5,135.39,0.2241939
248.75,-2.5,135.07,0.2207017
253.775,-2.5,134.76,0.2178765
258.8,-2.5,134.5,0.217312
263.825,-2.5,134.27,0.2202134
268.85,-2.5,134.09,0.2214491
273.875,-2.5,133.92,0.2175721
278.9,-2.5,133.74,0.2112978
283.925,-2.5,133.57,0.2027032
288.95,-2.5,133.41,0.1903375
293.975,-2.5,133.24,0.1761447
299,-2.5,133.07,0.1649173
304.025,-2.5,132.89,0.159379
309.05,-2.5,132.69,0.1562606
314.075,-2.5,132.5,0.1560751
319.1,-2.5,132.31,0.1602557
324.125,-2.5,132.13,0.1645369
