"site","elevation","det1","det2","det3","date1","date2","date3"
1,1925,1,1,1,26.4,18.8,39.4
2,1521.6,NA,0,0,NA,18.5,57.8
3,596.7,0,0,0,25.2,43.2,3.9
4,1457.1,0,0,0,45,13.3,20.6
5,1665.1,0,0,NA,55.8,55.5,NA
6,2148.5,0,1,1,29.7,44,20.4
7,1779.5,0,0,0,17.6,48.8,59.4
8,2107.4,1,1,1,21.3,38.1,55.2
9,1614.2,0,0,0,32.4,37,20.8
10,870.7,0,0,0,6,4.8,53
11,1018.3,0,0,0,52.2,24.7,33.8
12,1390,0,0,0,43.5,23.6,36.1
13,2018.1,1,0,0,18,54.6,32.6
14,1587.3,0,0,0,55.8,16.8,43.5
15,1572.6,0,0,1,38,16.3,24.3
16,797.4,0,0,0,43.1,44.7,51.3
17,2043.3,0,1,1,40.3,23.7,58.9
18,1409.5,1,0,1,14,37.7,33
19,1997.6,0,0,0,6.1,38.9,35.5
20,1180.3,NA,0,0,NA,12.1,13.8
21,785.4,0,0,0,39.9,34.9,40.4
22,625.8,NA,0,0,NA,55.9,43.1
23,2196.6,0,0,0,18.9,8.4,32.5
24,1281.9,0,0,0,5.3,42.1,58.7
25,816.2,0,0,0,6.9,1.5,46.6
26,1421.7,0,0,0,47.4,51.2,58.4
27,1047.6,0,0,0,54,28.6,58.2
28,1421.8,0,0,0,1.5,7.2,16.2
29,1088.3,1,NA,1,46.6,NA,36.8
30,1017,1,0,0,38.5,56.1,10.1
31,1380.6,0,0,0,3.2,32.7,27.8
32,614.9,0,0,0,47.6,10.7,36.8
33,1115.2,0,0,0,21.1,6,45.2
34,1810.8,1,NA,1,48,NA,35.6
35,1063.3,0,0,0,53.5,35.3,30.3
36,1225.9,0,0,0,57.6,23.4,56.3
37,2153.5,1,1,0,25.6,13.2,10
38,882.9,0,0,0,17.2,1.6,47.4
39,2136.5,1,1,1,25.5,23.2,18.3
40,2162,0,1,0,36.8,43.3,52
41,1137.5,0,0,0,8.2,20.9,19.5
42,653.6,0,0,0,56.3,55,37.8
43,1262.6,0,0,0,55,7.9,36.2
44,955.3,0,0,0,41.5,34.8,18.1
45,2219.4,0,0,0,10.8,27.7,37.6
46,1389.4,0,NA,0,23.7,NA,25.2
47,1808.7,0,0,1,42.8,21.8,14
48,2105.8,1,1,1,36.7,11.5,21.6
49,563.5,0,0,0,51.8,38.7,58.3
50,1793.1,1,1,1,2.5,10.6,27.8
51,1528.8,1,1,1,10.1,5.5,11.1
52,821.1,0,1,1,51.7,5.3,38.5
53,2180.1,0,1,1,17.6,15.5,22.7
54,754,0,0,0,48.2,13.4,52.1
55,658.9,0,0,0,20,7.1,10.9
56,549.5,0,0,0,52.8,52.6,9.1
57,1587.6,1,1,1,8.8,32.1,16.5
58,953.3,0,1,0,17.3,22.4,32.9
59,1361.6,0,1,1,55.5,10.7,36.5
60,898.4,0,0,0,21.3,38.3,34
61,1149.3,0,0,0,32.3,34.1,50.6
62,1518.3,0,0,0,45,17.6,59.9
63,2148.1,0,0,0,6.8,45.7,39.6
64,1634.3,1,1,1,12.6,26.9,34.1
65,2090.1,0,1,1,58.6,30.5,58.3
66,1505.2,0,0,0,17.2,30.7,53.7
67,972.7,0,0,0,9,59.2,33.2
68,1028,0,0,0,20.2,18.9,43.5
69,1311.1,0,0,0,18.7,32.9,3.3
70,1531.9,0,0,0,36.2,16,26.8
71,1337.1,1,0,1,7.9,7.5,13.4
72,790,1,1,1,24.2,23.7,25.5
73,1779.2,0,0,0,3.7,22.8,21.6
74,1610.1,1,1,1,33.9,57.5,25.5
75,959.1,0,0,NA,6.8,15.4,NA
76,1611.9,0,1,1,47.7,9.3,7.9
77,1228.6,0,0,0,47.5,8,29.8
78,1952.6,0,0,0,8.5,31.1,27.9
79,706,0,0,0,12.4,38.7,52.4
80,869.2,0,0,0,3.9,22.7,24
81,1725.1,0,0,0,15,29.4,37.9
82,1078.3,0,0,0,14.1,55.3,30.8
83,1570,1,1,1,2.9,37.8,23.1
84,715.3,0,0,0,7.5,20.1,41.8
85,1401.6,0,0,0,9.6,37.5,53.4
86,973.4,1,1,1,41.8,50.7,22.6
87,1921.9,0,0,0,2.4,17.5,41.9
88,672.9,0,0,0,20,58.3,35.6
89,1395,0,0,0,15.2,58.5,44.4
90,1910,1,1,1,21.8,18.2,29.2
91,1409,1,0,0,2.6,1.6,50.3
92,1959.5,1,0,1,45.4,4.2,59.3
93,1470.9,0,0,0,33.9,29.3,10.5
94,2213.5,0,1,0,17.3,5.7,42.3
95,1598.1,0,0,0,36.3,32.4,20.1
96,1459.1,0,0,0,57.3,10.6,7.8
97,707.5,0,0,0,24.3,25,29
98,1848.9,0,0,0,32.9,16.3,57.3
99,666.8,1,1,0,6,20.8,6.8
100,1223.9,0,0,0,33.2,14.7,24.4
101,1455.2,0,0,0,44.7,51.7,20.9
102,2119.4,1,1,1,37.6,18.2,18.4
